ASPECT: asus. CATEGORY: company general. OPINION: null. SENTIMENT: negative #####  . asus has not responded to numerous request for an update of the status of repair . ##### EAIO
ASPECT: card reader / writer. CATEGORY: ports general. OPINION: null. SENTIMENT: negative #####  . the only problem that i have found about this laptop is that it does n ' t have a card reader / writer . ##### EAIO
ASPECT: computer. CATEGORY: laptop general. OPINION: fine. SENTIMENT: positive #####  . the computer itself seemed fine at first . ##### EAEO
ASPECT: screen, screen, touchscreen, touchscreen. CATEGORY: display designfeatures, display designfeatures, display designfeatures, display designfeatures. OPINION: nice, bright, nice, bright. SENTIMENT: positive, positive, positive, positive #####  . screen is nice and bright ; touchscreen is nice and bright ; feels like a nice solid hinge ; feels like a nice solid device overall ; looks nice from the outside , feels nice from the outside and inside ; looks nice from the outside , feels nice from the inside and outside . ##### EAEO
ASPECT: backlight. CATEGORY: keyboard operationperformance. OPINION: great. SENTIMENT: positive #####  . the backlight is great . ##### EAEO
ASPECT: hdmi port. CATEGORY: ports operationperformance. OPINION: null. SENTIMENT: negative #####  . the hdmi port only works when a usb 3 . ##### EAIO
ASPECT: machine. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: positive #####  . the machine will likely be used for web browsing and basic notes so the extra ram and storage will be helpful . ##### EAIO
ASPECT: acer. CATEGORY: support quality. OPINION: null. SENTIMENT: negative #####  . acer wants to make this an isolated incident and not a pattern . ##### EAIO
ASPECT: air vent. CATEGORY: fans&cooling general. OPINION: null. SENTIMENT: negative #####  . there is an air vent right underneath the left side of the palm - rest area which can get pretty hot to the touch . ##### EAIO
ASPECT: tablet. CATEGORY: laptop general. OPINION: null. SENTIMENT: negative #####  . this tablet is my first time using the google play store and i ' m not sure i will ever use it again . ##### EAIO
ASPECT: display, some driver. CATEGORY: display quality, software quality. OPINION: crash, fail. SENTIMENT: negative, negative #####  . the display driver crashed and failed to recover . ##### EAEO
ASPECT: fingerprint reader. CATEGORY: hardware operationperformance. OPINION: null. SENTIMENT: positive #####  . the fingerprint reader works every time . ##### EAIO
ASPECT: model. CATEGORY: laptop general. OPINION: null. SENTIMENT: neutral #####  . i chose this model based on the good features , reviews , and price . ##### EAIO
ASPECT: chromebook. CATEGORY: laptop general. OPINION: null. SENTIMENT: positive #####  . this chromebook not only meets those requirements it has exceeded my expectations . ##### EAIO
ASPECT: laptop. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: negative #####  . my laptop was working fine until just under 3 months of use when it bsod ' d and wouldn ' t turn back on . ##### EAIO
ASPECT: computer. CATEGORY: laptop quality. OPINION: high. SENTIMENT: positive #####  . this computer has a high quality feel to it . ##### EAEO
ASPECT: laptop. CATEGORY: laptop general. OPINION: solid. SENTIMENT: positive #####  . this is a solid laptop . ##### EAEO
ASPECT: null. CATEGORY: laptop designfeatures. OPINION: null. SENTIMENT: positive #####  . it looks like a professional laptop but has the flexibility of a convertible . ##### IAIO
ASPECT: usb - c. CATEGORY: ports general. OPINION: null. SENTIMENT: positive #####  . at least one usb - c port would have made this chromebook . ##### EAIO
ASPECT: null. CATEGORY: laptop general. OPINION: null. SENTIMENT: negative #####  . i fixed it , however it took intensive research to fix it . ##### IAIO
ASPECT: battery. CATEGORY: battery operationperformance. OPINION: null. SENTIMENT: negative #####  . the battery is far below what i expected . ##### EAIO
ASPECT: laptop. CATEGORY: laptop quality. OPINION: null. SENTIMENT: negative #####  . this laptop is not a luxury good ; it is a plastic piece of shit . ##### EAIO
ASPECT: battery. CATEGORY: battery quality. OPINION: null. SENTIMENT: negative #####  . battery is not a sealed unit , it can be removed and replaced . ##### EAIO
ASPECT: touch pad. CATEGORY: keyboard quality. OPINION: null. SENTIMENT: negative #####  . the touch pad on the pixelbook is a pos . ##### EAIO
ASPECT: keyboard. CATEGORY: keyboard designfeatures. OPINION: like. SENTIMENT: positive #####  . i like the keyboard better than the MacBook Air . ##### EAEO
ASPECT: chromebook. CATEGORY: laptop general. OPINION: great. SENTIMENT: positive #####  . this chromebook is great for internet browsing and more simple apps . ##### EAEO
ASPECT: battery. CATEGORY: battery operationperformance. OPINION: null. SENTIMENT: neutral #####  . i just let the battery charge for the night and tested it first thing in the morning and it was fully charged . ##### EAIO
ASPECT: null, null. CATEGORY: laptop designfeatures, laptop operationperformance. OPINION: null, null. SENTIMENT: negative, positive #####  , negative . i wanted something i could work on my writing projects on the go , something that wouldn ' t take up too much space in my backpack : it ' s about the size of a standard notebook but thinner and about half the weight . ##### IAIO
ASPECT: unit. CATEGORY: laptop quality. OPINION: died. SENTIMENT: negative #####  . after a little over a month , this unit died . ##### EAEO
ASPECT: acer. CATEGORY: company general. OPINION: defect. SENTIMENT: negative #####  . acer has a defective gene that causes the chromebook to boot up and then immediately shut down . ##### EAEO
ASPECT: screen ratio. CATEGORY: display designfeatures. OPINION: great. SENTIMENT: positive #####  . the screen ratio is great . ##### EAEO
ASPECT: apple. CATEGORY: support general. OPINION: null. SENTIMENT: negative #####  . if you contact apple they will tell you to go to their website and look for answers to your question . ##### EAIO
ASPECT: laptop. CATEGORY: laptop designfeatures. OPINION: nice looking. SENTIMENT: positive #####  . nice looking laptop . ##### EAEO
ASPECT: laptop. CATEGORY: laptop price. OPINION: cheap. SENTIMENT: positive #####  . this is a cheap laptop that will last a long time . ##### EAEO
ASPECT: null. CATEGORY: laptop general. OPINION: null. SENTIMENT: positive #####  . i ' ll keep my rating at 4 stars , as the issues were largely minor and easily worked around . ##### IAIO
ASPECT: null. CATEGORY: laptop portability. OPINION: easy. SENTIMENT: positive #####  . it is very easy to use and is ideal for students or anyone who needs an easy to use computer that they can carry around with them . ##### IAEO
ASPECT: laptop. CATEGORY: laptop designfeatures. OPINION: excellent. SENTIMENT: positive #####  . this laptop is excellent in every way . ##### EAEO
ASPECT: ram. CATEGORY: memory usability. OPINION: upgradeable. SENTIMENT: positive #####  . you can easily upgrade the ram and it does make a difference in some applications . ##### EAEO
ASPECT: hdmi and usb ports. CATEGORY: ports designfeatures. OPINION: misery. SENTIMENT: negative #####  . i would rather have a dvd drive or some other functionality than to be stuck with this misery of an hdmi and usb ports arrangement . ##### EAEO
ASPECT: chromebook, chromebook. CATEGORY: laptop general, laptop general. OPINION: love, perfect. SENTIMENT: positive, positive #####  . i love this chromebook , it is the perfect size and , like the other reviews , the keyboard is easy to use and the chromebook is very fast . ##### EAEO
ASPECT: screen display, graphics. CATEGORY: display operationperformance, graphics general. OPINION: bright, excellent. SENTIMENT: positive, positive #####  . the screen display is bright and the graphics are excellent . ##### EAEO
ASPECT: null. CATEGORY: laptop quality. OPINION: terrible. SENTIMENT: negative #####  . this kind of terrible quality should not be surprising to anyone : it is a well - known problem with asus . ##### IAEO
ASPECT: keyboard. CATEGORY: keyboard general. OPINION: love. SENTIMENT: positive #####  . i love the keyboard more than its predecessor . ##### EAEO
ASPECT: keyboard. CATEGORY: keyboard general. OPINION: fantastic. SENTIMENT: positive #####  . the keyboard is fantastic . ##### EAEO
ASPECT: tablet. CATEGORY: laptop operationperformance. OPINION: well. SENTIMENT: positive #####  . the tablet works well for taking notes and reading books . ##### EAEO
ASPECT: machine. CATEGORY: laptop general. OPINION: excellent. SENTIMENT: positive #####  . excellent machine . ##### EAEO
ASPECT: null. CATEGORY: powersupply operationperformance. OPINION: null. SENTIMENT: negative #####  . it would not charge . ##### IAIO
ASPECT: computer, macbook. CATEGORY: laptop general, laptop general. OPINION: love, love. SENTIMENT: positive, positive ##### . i love this computer and this macbook is exactly what i wanted . ##### EAEO
ASPECT: chromebook. CATEGORY: laptop general. OPINION: null. SENTIMENT: negative #####  . this chromebook is my first time using something like this and i definitely made the wrong choice . ##### EAIO
ASPECT: chrome os. CATEGORY: os general. OPINION: null. SENTIMENT: negative #####  . chrome os is not matured in any way . ##### EAIO
ASPECT: screen. CATEGORY: display designfeatures. OPINION: brighter. SENTIMENT: negative #####  . screen could be brighter , back - light keyboard could be a standard keyboard without the touch of a button to make it a keyboard light . ##### EAEO
ASPECT: backlit keyboard. CATEGORY: keyboard designfeatures. OPINION: pain. SENTIMENT: negative #####  . the pain i feel when i have to type something in a dark room because the backlit keyboard is not enough light up is unbearable . ##### EAEO
ASPECT: computer. CATEGORY: laptop general. OPINION: amazing. SENTIMENT: positive #####  . this amazing computer is like the ultimate nervous system for my creative endeavors . ##### EAEO
ASPECT: null. CATEGORY: laptop designfeatures. OPINION: simple. SENTIMENT: positive #####  . simple and elegant , nothing extra , nothing superfluous . ##### IAEO
ASPECT: laptop. CATEGORY: laptop operationperformance. OPINION: fastest. SENTIMENT: positive #####  . this laptop is by far the fastest i ' ve ever owned . ##### EAEO
ASPECT: laptop. CATEGORY: laptop general. OPINION: great. SENTIMENT: positive #####  . this is a great laptop . ##### EAEO
ASPECT: laptop. CATEGORY: laptop general. OPINION: wrong. SENTIMENT: negative #####  . i think there is something fundamentally wrong with this laptop . ##### EAEO
ASPECT: device. CATEGORY: laptop price. OPINION: expensive. SENTIMENT: negative #####  . i would have bought this device sooner if it were available at a more expensive price point . ##### EAEO
ASPECT: computer. CATEGORY: laptop designfeatures. OPINION: null. SENTIMENT: negative #####  . the computer constantly pauses or stutters and then continues when it comes to loading web pages and working on documents . ##### EAIO
ASPECT: chormebook. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: positive #####  . this chormebook meets all my needs and has bee n ' t given to any trouble since i bought it . ##### EAIO
ASPECT: google drive online storage. CATEGORY: harddisc designfeatures. OPINION: null. SENTIMENT: positive #####  . one of the main reasons for this purchase was my need for more online storage space and google drive is integrated into the operating system making it very easy to use . ##### EAIO
ASPECT: ports. CATEGORY: ports usability. OPINION: null. SENTIMENT: positive #####  . the ports are everywhere and a dongle is rarely needed . ##### EAIO
ASPECT: computer. CATEGORY: laptop general. OPINION: great. SENTIMENT: positive #####  . this is really great computer . ##### EAEO
ASPECT: product, customer support. CATEGORY: laptop general, support general. OPINION: great, horrible. SENTIMENT: positive, negative #####  . great product , horrible customer support . ##### EAEO
ASPECT: trackpad, trackpad, trackpad, trackpad. CATEGORY: keyboard designfeatures, keyboard designfeatures, keyboard operationperformance, keyboard operationperformance. OPINION: nice, oversize, responsive, pleasure. SENTIMENT: positive, positive, positive, positive #####  . the large oversize trackpad is nice and responsive , giving a pleasure to use . ##### EAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: terrible. SENTIMENT: negative #####  . it ' s terrible , i tried every single option and still ca n ' t use it . ##### IAEO
ASPECT: laptop. CATEGORY: laptop price. OPINION: ' t think you ' ll find a better. SENTIMENT: positive #####  . i think you ' ll find a better laptop deal elsewhere , but you ' ll have a harder time finding a better combination of features . ##### EAEO
ASPECT: null. CATEGORY: laptop price. OPINION: resonable. SENTIMENT: positive #####  . the price was resonable . ##### IAEO
ASPECT: null. CATEGORY: support general. OPINION: null. SENTIMENT: neutral #####  . i ' m sure they will help if i have further problems . ##### IAIO
ASPECT: product, product. CATEGORY: laptop operationperformance, laptop price. OPINION: nutty, expensive. SENTIMENT: negative, negative #####  , describing the product . ##### EAEO
ASPECT: screen. CATEGORY: display general. OPINION: great. SENTIMENT: positive #####  . the screen is great . ##### EAEO
ASPECT: product. CATEGORY: laptop general. OPINION: null. SENTIMENT: negative #####  . i have been waiting for this product to be released and when i finally got my hands on it , the excitement quickly dissipated . ##### EAIO
ASPECT: charge. CATEGORY: powersupply operationperformance. OPINION: null. SENTIMENT: negative #####  . the charge will last approximately 2 - 3 hours depending on use . ##### EAIO
ASPECT: computer. CATEGORY: laptop general. OPINION: awesome. SENTIMENT: positive #####  . this computer is awesome . ##### EAEO
ASPECT: chromium os, windows pc, windows pc. CATEGORY: os general, laptop price, laptop price. OPINION: limiting, not recommend, cheap. SENTIMENT: negative, negative, negative #####  . chromium os is limiting , and i don ' t recommend it as a primary operating system ; however , as a cheap alternative to windows pc , it will work for basic internet usage . ##### EAEO
ASPECT: null. CATEGORY: laptop general. OPINION: fine. SENTIMENT: positive #####  . i ' ve used it to do some basic video editing , developing applications , and some gaming and it ' s handled it all fine . ##### IAEO
ASPECT: screen, screen. CATEGORY: display general, display general. OPINION: sharp, good. SENTIMENT: positive, positive #####  . screen is sharp and good lighting . ##### EAEO
ASPECT: computer, battery life. CATEGORY: laptop general, battery operationperformance. OPINION: perfect, shorter. SENTIMENT: positive, negative #####  . the computer was perfect for my needs , but the battery life was shorter than i had hoped . ##### EAEO
ASPECT: chromebook. CATEGORY: laptop general. OPINION: best. SENTIMENT: positive #####  . this chromebook is one of the best i ' ve ever purchased or used . ##### EAEO
ASPECT: trackpad. CATEGORY: keyboard general. OPINION: awesome. SENTIMENT: positive #####  . trackpad is awesome . ##### EAEO
ASPECT: device, device, device. CATEGORY: laptop designfeatures, laptop designfeatures, laptop designfeatures. OPINION: sturdy, clean, pleasure. SENTIMENT: positive, positive, positive #####  . a sturdy clean pleasing device to look at and to use . ##### EAEO
ASPECT: chromebook. CATEGORY: laptop connectivity. OPINION: null. SENTIMENT: positive #####  . this chromebook not only meets those requirements it has exceeded my expectations . ##### EAIO
ASPECT: chromebook. CATEGORY: laptop general. OPINION: null. SENTIMENT: neutral #####  . this is my first chromebook so not entirely sure how to use it all the way around . ##### EAIO
ASPECT: product. CATEGORY: laptop general. OPINION: null. SENTIMENT: negative #####  . i did not expect to have to return this product for an exchange the same day i got it . ##### EAIO
ASPECT: null. CATEGORY: laptop general. OPINION: slow. SENTIMENT: negative #####  . it is very slow and the competition for speed is definitely not bare . ##### IAEO
ASPECT: null. CATEGORY: laptop quality. OPINION: break. SENTIMENT: negative #####  . i bought this chrome book based on the high ratings , however i feel the quality just is n ' t up to par for the price i paid , if this happened to break i am not sure i would want to buy another one . ##### IAEO
ASPECT: board. CATEGORY: motherboard general. OPINION: bad. SENTIMENT: negative #####  . there is a bad board gene in this model . ##### EAEO
ASPECT: key. CATEGORY: keyboard usability. OPINION: stiff. SENTIMENT: negative #####  . the key travel is stiff . ##### EAEO
ASPECT: cpu. CATEGORY: cpu operationperformance. OPINION: well. SENTIMENT: positive #####  . the cpu works well for internet surfing and word processing . ##### EAEO
ASPECT: mac ' s os. CATEGORY: os operationperformance. OPINION: null. SENTIMENT: negative #####  . the mac ' s os is crippled without wifi connection . ##### EAIO
ASPECT: keyboard, mouse pad. CATEGORY: keyboard designfeatures, keyboard designfeatures. OPINION: fine, fine. SENTIMENT: positive, positive #####  . the keyboard and mouse pad are fine . ##### EAEO
ASPECT: battery life. CATEGORY: battery general. OPINION: excellent. SENTIMENT: positive #####  . the battery life is excellent . ##### EAEO
ASPECT: battery. CATEGORY: battery operationperformance. OPINION: null. SENTIMENT: positive #####  . the battery lasts for quite sometime . ##### EAIO
ASPECT: computer. CATEGORY: laptop operationperformance. OPINION: useless. SENTIMENT: negative #####  . unless you plan on using this computer exclusively for web browsing , you might as well just throw it in the trash as it will be just as useful . ##### EAEO
ASPECT: hdd, laptop. CATEGORY: harddisc designfeatures, laptop designfeatures. OPINION: slow, slow. SENTIMENT: negative, negative #####  . - on the other hand this laptop is very slow due to the hdd and also the laptop has no ventilation at the bottom of the laptop . ##### EAEO
ASPECT: memory, drive space. CATEGORY: memory designfeatures, harddisc designfeatures. OPINION: null, null. SENTIMENT: positive, positive #####  . i ' m still using the computer and it ' s still running pretty fast despite the fact that i ' ve added some memory and drive space over the years . ##### EAIO
ASPECT: null. CATEGORY: laptop general. OPINION: garbage. SENTIMENT: negative #####  . this is a garbage disposal , not a computer . ##### IAEO
ASPECT: laptop. CATEGORY: laptop general. OPINION: favorite. SENTIMENT: positive #####  . this laptop is now one of my favorite things i own ##### EAEO
ASPECT: usb - c ports. CATEGORY: ports operationperformance. OPINION: well. SENTIMENT: positive #####  . the usb - c ports work well for charging . ##### EAEO
ASPECT: computer. CATEGORY: laptop operationperformance. OPINION: fast. SENTIMENT: positive #####  . the computer is very fast . ##### EAEO
ASPECT: battery, display, keyboard. CATEGORY: battery general, display general, keyboard general. OPINION: good, great, great. SENTIMENT: positive, positive, positive #####  . battery is only good for about 2 - 4 hours , display is great , keyboard is great . ##### EAEO
ASPECT: retina display. CATEGORY: display operationperformance. OPINION: gorgeous. SENTIMENT: positive #####  . the retina display is gorgeous to look at . ##### EAEO
ASPECT: battery runtime. CATEGORY: battery quality. OPINION: null. SENTIMENT: positive #####  . the battery runtime is at least 8 hours . ##### EAIO
ASPECT: null. CATEGORY: laptop general. OPINION: null. SENTIMENT: negative #####  . i would not buy this again . ##### IAIO
ASPECT: os x, display. CATEGORY: os general, display operationperformance. OPINION: classy, classy. SENTIMENT: positive, positive #####  . the combination of os x and the classy display makes this machine classy . ##### EAEO
ASPECT: apple products. CATEGORY: company general. OPINION: best. SENTIMENT: positive #####  . apple products are the best , no doubt in my mind . ##### EAEO
ASPECT: null, null. CATEGORY: laptop general, laptop general. OPINION: loves, great. SENTIMENT: positive, positive #####  . she loves it and it was great for what we needed . ##### IAEO
ASPECT: asus customer service people. CATEGORY: support quality. OPINION: rude. SENTIMENT: negative #####  . the asus customer service people were rude and offered no solutions . ##### EAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: outstanding. SENTIMENT: positive #####  . the performance is outstanding . ##### IAEO
ASPECT: keyboard. CATEGORY: keyboard usability. OPINION: comfortable. SENTIMENT: positive #####  . i ' m actually enjoying the keyboard more than i expected , though i was a bit apprehensive at first , as the keys are a bit rounder and shorter than a standard laptop . ##### EAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: well. SENTIMENT: positive #####  . it works well for internet browsing and e - mail but i was hoping for much more . ##### IAEO
ASPECT: product. CATEGORY: laptop general. OPINION: great. SENTIMENT: positive #####  . this is a great product . ##### EAEO
ASPECT: chromebook. CATEGORY: laptop general. OPINION: spectacular. SENTIMENT: positive #####  . this is a spectacular chromebook ! ##### EAEO
ASPECT: charger. CATEGORY: powersupply designfeatures. OPINION: great. SENTIMENT: positive #####  . the charger is great as it is very compact and with the usb c charging cable provided , you can charge any usb c battery pack and thus keep your laptop charged on the go . ##### EAEO
ASPECT: wireless card. CATEGORY: hardware designfeatures. OPINION: finicky. SENTIMENT: negative #####  . wireless card is finicky . ##### EAEO
ASPECT: null. CATEGORY: company general. OPINION: null. SENTIMENT: positive #####  . i ' ve been a loyal mac user for over 20 years , and have never once regretted it . ##### IAIO
ASPECT: null. CATEGORY: laptop designfeatures. OPINION: amazing. SENTIMENT: positive #####  . it looks amazing doesn ' t it ! ##### IAEO
ASPECT: screen. CATEGORY: display operationperformance. OPINION: null. SENTIMENT: negative #####  . the screen will not work . ##### EAIO
ASPECT: laptop, laptop, laptop. CATEGORY: laptop designfeatures, laptop designfeatures, laptop designfeatures. OPINION: love, lightweight, sleek. SENTIMENT: positive, positive, positive #####  . i love the lightweight and sleek design of this laptop . ##### EAEO
ASPECT: null, null. CATEGORY: laptop price, laptop general. OPINION: pricey, worth. SENTIMENT: negative, positive #####  . the macbook is pricey , but it is absolutely , positively worth it . ##### IAEO
ASPECT: customer service. CATEGORY: support general. OPINION: bad. SENTIMENT: negative #####  . customer service was bad . ##### EAEO
ASPECT: touchscreen. CATEGORY: hardware operationperformance. OPINION: null. SENTIMENT: negative #####  . the touchscreen never seemed to work properly and now i understand why . ##### EAIO
ASPECT: null. CATEGORY: laptop portability. OPINION: love. SENTIMENT: positive #####  . i love how slim the design is - will fit easily into my backpack : ##### IAEO
ASPECT: product. CATEGORY: laptop general. OPINION: horrible. SENTIMENT: negative #####  . this horrible product is no longer than 1 month old . ##### EAEO
ASPECT: keyboard. CATEGORY: keyboard operationperformance. OPINION: loudly. SENTIMENT: negative #####  . the keyboard loudly clicks on startup and when the computer is idle . ##### EAEO
ASPECT: computer, ssd, processor, computer. CATEGORY: laptop operationperformance, harddisc quality, cpu quality, laptop general. OPINION: fast, fast, fast, good. SENTIMENT: positive, positive, positive, positive #####  . this computer is very fast due to the ssd and processor , and the good quality hard disc will allow you to store lots of files . ##### EAEO
ASPECT: null. CATEGORY: laptop portability. OPINION: perfect. SENTIMENT: positive #####  . this is perfect for my needs , i travel a lot with work and this is so much easier than carrying a backpack full of paper . ##### IAEO
ASPECT: chromebook. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: negative #####  . this chromebook does not have a cap or lid so it can be easily opened and accessed by others when in a backpack or purse . ##### EAIO
ASPECT: battery life. CATEGORY: battery operationperformance. OPINION: amazing. SENTIMENT: positive #####  . amazing battery life , i could go on . ##### EAEO
ASPECT: laptop. CATEGORY: laptop operationperformance. OPINION: ideal. SENTIMENT: positive #####  . this laptop is ideal for those who use their computer for surfing the internet and checking their email . ##### EAEO
ASPECT: metal screen casing. CATEGORY: display quality. OPINION: bent. SENTIMENT: negative #####  . metal screen casing bent out of shape on one side . ##### EAEO
ASPECT: hardware. CATEGORY: hardware quality. OPINION: annoying. SENTIMENT: negative #####  . the annoying hardware issue : my laptop has a floating screen , it ' s not a big issue though as i live in a country where there are no laptops with floating screens . ##### EAEO
ASPECT: touch screen. CATEGORY: display operationperformance. OPINION: wonderfully. SENTIMENT: positive #####  . touch screen operation is wonderfully responsive . ##### EAEO
ASPECT: battery life. CATEGORY: battery quality. OPINION: great. SENTIMENT: positive #####  . battery life is great and i get about 9 hours easily . ##### EAEO
ASPECT: battery life. CATEGORY: battery operationperformance. OPINION: decent. SENTIMENT: positive #####  . the battery life is quite decent . ##### EAEO
ASPECT: null. CATEGORY: laptop general. OPINION: null. SENTIMENT: negative #####  . i will keep my rating at 3 stars , as the issues with the screen quality / shine - and volume / brightness keys being unusable and nonexistent , to be large issues for me . ##### IAIO
ASPECT: track pad. CATEGORY: keyboard usability. OPINION: null. SENTIMENT: negative #####  . i have gotten used to the track pad , but it will be a forever made ' up ' design . ##### EAIO
ASPECT: chromebooks. CATEGORY: laptop designfeatures. OPINION: cool. SENTIMENT: positive #####  . chromebooks are cool looking . ##### EAEO
ASPECT: screen. CATEGORY: display designfeatures. OPINION: annoying. SENTIMENT: negative #####  . screen is too small and annoying scroll bars appear when viewing documents . ##### EAEO
ASPECT: computer. CATEGORY: laptop general. OPINION: highly rated. SENTIMENT: positive #####  . i bought this computer because it is highly rated and because i can add additional ram and a bigger hard drive . ##### EAEO
ASPECT: null. CATEGORY: laptop general. OPINION: null. SENTIMENT: neutral #####  . i purchased this in may of 2018 to use in college and also for gaming . ##### IAIO
ASPECT: unit. CATEGORY: laptop price. OPINION: not worth. SENTIMENT: negative #####  . i am holding on to the hope that this unit is an isolated incident and not worth the $ 700 price tag . ##### EAEO
ASPECT: laptop. CATEGORY: laptop general. OPINION: good. SENTIMENT: positive #####  . good laptop thank you . ##### EAEO
ASPECT: null, null. CATEGORY: os operationperformance, os designfeatures. OPINION: robust, light. SENTIMENT: positive, positive #####  . it is robust enough to allow me to do all the things i need to do for work , but it is light enough to easily travel from place to place . ##### IAEO
ASPECT: fan - less device, fan - less device. CATEGORY: fans&cooling quality, fans&cooling quality. OPINION: happy, quiet. SENTIMENT: positive, positive #####  . i ' m happy to report that this is a fan - less device and therefore much quieter than its predecessor . ##### EAEO
ASPECT: null. CATEGORY: laptop connectivity. OPINION: suck. SENTIMENT: negative #####  . it ' s not real fast and it loses internet connection every hour or so . ##### IAEO
ASPECT: warranty. CATEGORY: warranty general. OPINION: null. SENTIMENT: negative #####  . i will never buy another macbook again and i would not buy this one again if it wasn ' t for the warranty . ##### EAIO
ASPECT: this computer. CATEGORY: laptop general. OPINION: love. SENTIMENT: positive #####  . i love this computer . ##### EAEO
ASPECT: chromebook, computers. CATEGORY: laptop general, laptop general. OPINION: best, best. SENTIMENT: positive, positive #####  . this is one of the best chromebooks available and one of the best computers i ' ve ever purchased . ##### EAEO
ASPECT: computer. CATEGORY: laptop general. OPINION: nice. SENTIMENT: positive #####  . this is a nice computer . ##### EAEO
ASPECT: laptop. CATEGORY: laptop general. OPINION: null. SENTIMENT: negative #####  . this laptop is my first time using the intel optane thing and after this i can not recommend it . ##### EAIO
ASPECT: windows 7 laptop. CATEGORY: laptop general. OPINION: null. SENTIMENT: neutral #####  . windows 7 laptop ##### EAIO
ASPECT: tablet. CATEGORY: laptop portability. OPINION: heavy. SENTIMENT: negative #####  . this tablet is very heavy for its small size . ##### EAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: terrible. SENTIMENT: negative #####  . it is terrible at handling games like skyrim or the witcher 3 . ##### IAEO
ASPECT: screen, keyboard, form factor. CATEGORY: display general, keyboard general, laptop designfeatures. OPINION: good, better, better. SENTIMENT: positive, positive, positive #####  . screen is good , keyboard is better , form factor is better . ##### EAEO
ASPECT: chromebook. CATEGORY: laptop general. OPINION: impressed. SENTIMENT: positive #####  . from the moment i opened the box and turned on the chromebook for the first time , i was impressed . ##### EAEO
ASPECT: laptop. CATEGORY: laptop connectivity. OPINION: null. SENTIMENT: negative #####  . i had this laptop for a little over a year and it randomly stopped connecting to my wifi from my router which was previously working fine . ##### EAIO
ASPECT: null. CATEGORY: display general. OPINION: perfect. SENTIMENT: positive #####  . it is perfect for my needs . ##### IAEO
ASPECT: powers up, keyboard. CATEGORY: laptop operationperformance, keyboard general. OPINION: null, null. SENTIMENT: positive, positive #####  . it powers up quickly , the keyboard is generally ' ok ' ( i would definitely not want to do any extensive typing on it ) , and the screen is definitely not a selling point . ##### EAIO
ASPECT: headphones, headphones, headphones. CATEGORY: multimediadevices operationperformance, multimediadevices operationperformance, multimediadevices operationperformance. OPINION: horribly, low, unenjoyable. SENTIMENT: negative, negative, negative #####  . - the sound is horribly imbalanced and at low volume is unenjoyable . ##### EAEO
ASPECT: warranty stuff. CATEGORY: warranty general. OPINION: null. SENTIMENT: neutral #####  . if you need to return it , you have to send it back with the original box and all the warranty stuff . ##### EAIO
ASPECT: battery life. CATEGORY: battery operationperformance. OPINION: incredible. SENTIMENT: positive #####  . battery life is incredible . ##### EAEO
ASPECT: laptop. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: positive #####  . i love this laptop it is fast and does everything i ask it to do . ##### EAIO
ASPECT: e 15. CATEGORY: laptop general. OPINION: disappointed. SENTIMENT: negative #####  . i ' m very disappointed with this e 15 . ##### EAEO
ASPECT: amazon. CATEGORY: support quality. OPINION: great. SENTIMENT: positive #####  . amazon is great for returns and exchanges . ##### EAEO
ASPECT: laptop. CATEGORY: laptop designfeatures. OPINION: well. SENTIMENT: positive #####  . the laptop itself looks well put together . ##### EAEO
ASPECT: null. CATEGORY: software operationperformance. OPINION: quickly. SENTIMENT: positive #####  . it works quickly and has a lot of features that are easy to use . ##### IAEO
ASPECT: laptop. CATEGORY: laptop general. OPINION: best. SENTIMENT: positive #####  . this is the best laptop i have ever purchased or used . ##### EAEO
ASPECT: chromebook. CATEGORY: laptop general. OPINION: superb. SENTIMENT: positive #####  . this chromebook is superb . ##### EAEO
ASPECT: laptop. CATEGORY: laptop general. OPINION: epic. SENTIMENT: positive #####  . this epic laptop is the ultimate solution for all your needs . ##### EAEO
ASPECT: build quality. CATEGORY: laptop quality. OPINION: pleased. SENTIMENT: positive #####  . the build quality exceeds my expectations and i am very very pleased with the overall experience . ##### EAEO
ASPECT: null, null. CATEGORY: laptop price, laptop usability. OPINION: affordable, easy. SENTIMENT: positive, positive #####  . it ' s affordable , easy to use and carries the android operating system for mobile apps . ##### IAEO
ASPECT: macbook. CATEGORY: laptop general. OPINION: blessing. SENTIMENT: positive #####  . the macbook is a blessing to me . ##### EAEO
ASPECT: phantom touches. CATEGORY: keyboard general. OPINION: null. SENTIMENT: negative #####  . the only problem that i have had , which is a phantom touch , i have tried to replicate it and i can ' t . ##### EAIO
ASPECT: trackpad. CATEGORY: keyboard general. OPINION: annoying. SENTIMENT: negative #####  . the trackpad is annoying . ##### EAEO
