ASPECT: null. CATEGORY: restaurant general. OPINION: worth. SENTIMENT: positive #####  . you definitely will not be disappointed , it is worth the trip from manhattan . ##### IAEO
ASPECT: food. CATEGORY: food quality. OPINION: okay. SENTIMENT: negative #####  . my husband ' s was okay , but the food in general did n ' t look appetizing . ##### EAEO
ASPECT: sake. CATEGORY: drinks quality. OPINION: perfect. SENTIMENT: positive #####  . i had the sake which was perfect . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  : i ' ve been there three times already ! ! ! ##### IAIO
ASPECT: sake, food. CATEGORY: drinks quality, food quality. OPINION: good, good. SENTIMENT: positive, positive #####  . good sake and good food . ##### EAEO
ASPECT: food, food. CATEGORY: food quality, food styleoptions. OPINION: great, bonus. SENTIMENT: positive, positive #####  . i thought the food was great and the bonus of being able to make your own noodle bowl was a nice touch . ##### EAEO
ASPECT: crowd. CATEGORY: restaurant miscellaneous. OPINION: null. SENTIMENT: neutral #####  . a good spot for people watching if you ' re into that , or if you ' re looking for a fun and lively atmosphere to go out with friends or coworkers ( the crowd is mostly young , attractive , and single ) . ##### EAIO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  . we were never offered drinks . ##### IAIO
ASPECT: omikase. CATEGORY: food quality. OPINION: n ' t disappoint. SENTIMENT: positive #####  . ( we did the omikase and it did n ' t disappoint . ) ##### EAEO
ASPECT: chana masala  garbanzo beans . CATEGORY: food quality. OPINION: also. SENTIMENT: positive #####  . there is chana masala and garbanzo beans in it . ##### EAEO
ASPECT: servers, servers. CATEGORY: service general, service general. OPINION: attentive, friendly. SENTIMENT: positive, positive #####  . . . the servers are attentive and friendly . ##### EAEO
ASPECT: food, atmosphere. CATEGORY: food quality, ambience general. OPINION: great, awesome. SENTIMENT: positive, positive #####  . . . the food is great and the atmosphere is awesome . ##### EAEO
ASPECT: meal. CATEGORY: food quality. OPINION: null. SENTIMENT: positive #####  . i have to say that i ca n ' t believe how good this meal was for $ 9 . ##### EAIO
ASPECT: music, subwoofer to the sound system. CATEGORY: ambience general, ambience general. OPINION: very, annoying. SENTIMENT: positive, negative #####  ; very annoying music from the subwoofer to the sound system . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  : i have been there twice and will most likely go again . ##### IAIO
ASPECT: portions, sushi dishes. CATEGORY: food styleoptions, food styleoptions. OPINION: large, creative. SENTIMENT: positive, positive #####  . i have to say that the portions are large and the sushi dishes are very creative . ##### EAEO
ASPECT: pizza place. CATEGORY: restaurant general. OPINION: great. SENTIMENT: positive #####  . i go here on my lunch break and always get a great pizza place ! ##### EAEO
ASPECT: server, food. CATEGORY: service general, food quality. OPINION: wonderful, wonderful. SENTIMENT: positive, positive #####  . the server was wonderful as was the food . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  the place is a must ! ##### IAIO
ASPECT: service, food. CATEGORY: service general, food prices. OPINION: bad, overpriced. SENTIMENT: negative, negative #####  , negative ##### EAEO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: neutral #####  . there ' s always someone to greet you at the door . ##### IAIO
ASPECT: brunch food. CATEGORY: food quality. OPINION: average. SENTIMENT: neutral #####  . but , average brunch food . ##### EAEO
ASPECT: wine list. CATEGORY: drinks styleoptions. OPINION: wonderful. SENTIMENT: positive #####  . my wife had the wonderful riesling from the wine list . ##### EAEO
ASPECT: sashimi, sashimi. CATEGORY: food quality, food quality. OPINION: freshest, tender. SENTIMENT: positive, positive #####  . fresh sashimi , the freshest i ' ve ever had , tender and melt in your mouth . ##### EAEO
ASPECT: restaurant. CATEGORY: restaurant general. OPINION: horrible. SENTIMENT: negative #####  . i ca n ' t believe how horrible this restaurant is . ##### EAEO
ASPECT: atmosphere, service. CATEGORY: ambience general, service general. OPINION: cozy, horrible. SENTIMENT: positive, negative #####  . . . the atmosphere is pretty cozy and the service is horrible . ##### EAEO
ASPECT: balcony. CATEGORY: ambience general. OPINION: nice. SENTIMENT: positive #####  . i was n ' t here for the food , but i ' m glad i stopped by . . . the balcony is nice , the wait staff dresses up for Halloween , so it ' s fun to go there in costume . ##### EAEO
ASPECT: coffe. CATEGORY: drinks quality. OPINION: good. SENTIMENT: positive #####  coffe is good . ##### EAEO
ASPECT: null, null. CATEGORY: food quality, food quality. OPINION: decent, nothing exceptional. SENTIMENT: positive, neutral #####  . it was ok , nothing exceptional , but decent for the price . ##### IAEO
ASPECT: food. CATEGORY: food quality. OPINION: null. SENTIMENT: positive #####  : ( it has nothing to do with the food ) ##### EAIO
ASPECT: null. CATEGORY: restaurant general. OPINION: better. SENTIMENT: positive #####  . i have a feeling that it will continue to get better . ##### IAEO
ASPECT: pizza, service. CATEGORY: food quality, service general. OPINION: great, poor. SENTIMENT: positive, negative #####  . great pizza but poor service . ##### EAEO
ASPECT: null, null. CATEGORY: restaurant general, restaurant prices. OPINION: recommend, expensive. SENTIMENT: positive, negative #####  . i would recommend it but it is very expensive . ##### IAEO
ASPECT: sushi, salmon, tuna, fluke, yellow tail, cod, mackeral, jellyfish, sea urchin, shrimp, lobster, sea bream, trout, milk fish, blue fin tuna, eel, crab, sardine, monk fish, roe, scallop, oysters, toro. CATEGORY: food quality, food quality, food quality, food quality, food quality, food quality, food quality, food quality, food quality, food quality, food quality, food quality, food quality, food quality, food quality, food quality, food quality, food quality, food quality, food quality, food quality, food quality, food styleoptions. OPINION: null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null. SENTIMENT: positive, positive, positive, positive, positive, positive, positive, positive, positive, positive, positive, positive, positive, positive, positive, positive, positive, positive, positive, positive, positive, positive, positive ##### , positive, positive , positive ##### EAIO
ASPECT: drinks. CATEGORY: drinks quality. OPINION: good. SENTIMENT: positive #####  . the drinks are very good here . ##### EAEO
ASPECT: restaurant. CATEGORY: restaurant miscellaneous. OPINION: null. SENTIMENT: negative #####  . the service was great at the restaurant but i was charged $ 10 for a glass of water that i did n ' t order . ##### EAIO
ASPECT: null. CATEGORY: food quality. OPINION: yum. SENTIMENT: positive #####  . the flavor was yum . ##### IAEO
ASPECT: null. CATEGORY: service general. OPINION: rudely. SENTIMENT: negative #####  . they rudely interrupted me and my dining partner . ##### IAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: amazing. SENTIMENT: positive #####  . i ' ve been going there for amazing since 1990 . ##### IAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: negative #####  . we will never go back . ##### IAIO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  : i was n ' t offered anything to drink . ##### IAIO
ASPECT: null. CATEGORY: restaurant general. OPINION: great. SENTIMENT: positive #####  . this was a great surprise . ##### IAEO
ASPECT: null. CATEGORY: restaurant miscellaneous. OPINION: null. SENTIMENT: neutral #####  : the house is very dark and there is always jazz music playing . ##### IAIO
ASPECT: establishment. CATEGORY: restaurant general. OPINION: null. SENTIMENT: negative #####  . i do n ' t think this establishment will be around for much longer . ##### EAIO
ASPECT: sake selection. CATEGORY: drinks styleoptions. OPINION: good. SENTIMENT: positive #####  . . . my friend had the sake selection which was good . ##### EAEO
ASPECT: steak, steak. CATEGORY: food quality, food quality. OPINION: nice, juicy. SENTIMENT: positive, positive #####  , positive ##### EAEO
ASPECT: null. CATEGORY: service general. OPINION: annoying. SENTIMENT: negative #####  . the only thing annoying is when the bartender ' s rude and dismissive when you ask for your check . ##### IAEO
ASPECT: service, place. CATEGORY: service general, restaurant general. OPINION: fantastic, fun. SENTIMENT: positive, positive #####  . . . the service here is fantastic and the place just plain fun . ##### EAEO
ASPECT: staff. CATEGORY: service general. OPINION: friendly. SENTIMENT: positive #####  . . . i have never had such friendly staff . ##### EAEO
ASPECT: green tea creme brulee. CATEGORY: food quality. OPINION: must. SENTIMENT: positive #####  . i must say that i have never had green tea creme brulee as delicious as this one . ##### EAEO
ASPECT: null. CATEGORY: restaurant miscellaneous. OPINION: right. SENTIMENT: positive #####  . i was n ' t here for the decor so i ca n ' t comment on that but the location , right on the water , is great . ##### IAEO
ASPECT: place. CATEGORY: restaurant general. OPINION: sad. SENTIMENT: negative #####  . my boyfriend and i were very sad to find that this place does n ' t exist anymore . ##### EAEO
ASPECT: wine. CATEGORY: drinks quality. OPINION: null. SENTIMENT: negative #####  : the wine we ordered tasted like it had been left out all night . ##### EAIO
ASPECT: null. CATEGORY: restaurant general. OPINION: amazing. SENTIMENT: positive #####  . we found it amazing . ##### IAEO
ASPECT: decor, decor, feeling. CATEGORY: ambience general, ambience general, ambience general. OPINION: enjoy, simplicity, intimate. SENTIMENT: positive, positive, positive #####  . . . the decor is quite simple and intimate which adds to the overall enjoyment . . . ##### EAEO
ASPECT: null. CATEGORY: food quality. OPINION: null. SENTIMENT: negative #####  . i have had better for less elsewhere . ##### IAIO
ASPECT: open sesame. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  . i ca n ' t wait for open sesame to open , i hope it ' s as good as it ' s hyped to be . ##### EAIO
ASPECT: open sesame. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  : we ' ve been open sesame for years ! ##### EAIO
ASPECT: null. CATEGORY: restaurant general. OPINION: bad. SENTIMENT: negative #####  . i felt like i was ripped off . ##### IAEO
ASPECT: food. CATEGORY: food quality. OPINION: never disappointed. SENTIMENT: positive #####  . i have never been here and been disappointed with the food . ##### EAEO
ASPECT: service, service. CATEGORY: service general, service general. OPINION: attentive, charming. SENTIMENT: positive, positive #####  . attentive and charming service . ##### EAEO
ASPECT: place. CATEGORY: restaurant general. OPINION: null. SENTIMENT: negative #####  . this place does n ' t even try to hide the fact that they do n ' t give a damn about their customers . ##### EAIO
ASPECT: food, food. CATEGORY: food quality, food prices. OPINION: mediocre, mediocre. SENTIMENT: negative, negative #####  . this place has a long way to go , food is very mediocre and the prices are really high . ##### EAEO
ASPECT: caesar salad. CATEGORY: food quality. OPINION: superb. SENTIMENT: positive #####  . my caesar salad was superb . ##### EAEO
ASPECT: honwy walnut prawns, honwy walnut prawns. CATEGORY: food quality, food quality. OPINION: outstanding, best. SENTIMENT: positive, positive #####  . the honwy walnut prawns were the outstanding dish , and the best i ' ve had anywhere . ##### EAEO
ASPECT: null. CATEGORY: food quality. OPINION: not chewy. SENTIMENT: positive #####  . if it is not chewy then it is not authentic . ##### IAEO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: positive #####  and friendly : be sure not to judge this book by its cover or by the attitude of the front of the house staff . ##### IAIO
ASPECT: drinks. CATEGORY: drinks quality. OPINION: null. SENTIMENT: positive #####  . drinks are excellent - both the wine and non - wine drinks . ##### EAIO
ASPECT: null. CATEGORY: food quality. OPINION: delicious. SENTIMENT: positive #####  . this was delicious . ##### IAEO
ASPECT: menu. CATEGORY: food styleoptions. OPINION: creative. SENTIMENT: positive #####  . creative menu ##### EAEO
ASPECT: indain food. CATEGORY: food quality. OPINION: recommend. SENTIMENT: positive #####  . i highly recommend indain food for indian food lovers . ##### EAEO
ASPECT: fish. CATEGORY: food quality. OPINION: decent. SENTIMENT: negative #####  . . . if you ' re in the mood for fish , there are other places that serve decent fish . ##### EAEO
ASPECT: place. CATEGORY: restaurant general. OPINION: bad. SENTIMENT: negative #####  . i ca n ' t believe how bad this place really is . ##### EAEO
ASPECT: brocolli. CATEGORY: food quality. OPINION: null. SENTIMENT: positive #####  . mine had lots of brocolli . ##### EAIO
ASPECT: wait staff, cooks. CATEGORY: service general, service general. OPINION: friendly, friendly. SENTIMENT: positive, positive #####  . the wait staff and cooks are all so friendly . ##### EAEO
ASPECT: sushi place. CATEGORY: restaurant general. OPINION: best. SENTIMENT: positive #####  . we found it to be the best sushi place in manhattan . ##### EAEO
ASPECT: specialty rolls. CATEGORY: food quality. OPINION: impressive. SENTIMENT: positive #####  . ours were very impressive . ##### EAEO
ASPECT: pizza. CATEGORY: food quality. OPINION: better. SENTIMENT: negative #####  . you can get better pizza elsewhere . ##### EAEO
ASPECT: menu. CATEGORY: food quality. OPINION: delectable. SENTIMENT: positive #####  . the menu has delectable choices , fresh fish , the pasta dishes are excellent . ##### EAEO
ASPECT: kafta plate. CATEGORY: food quality. OPINION: perfect. SENTIMENT: positive #####  . . . the kafta plate was perfect . ##### EAEO
ASPECT: prawns, prawns, scallops, scallops. CATEGORY: food quality, food quality, food quality, food quality. OPINION: fresh, nicely cooked, fresh, nicely cooked. SENTIMENT: positive, positive, positive, positive #####  . we had prawns and scallops which were fresh and nicely cooked . ##### EAEO
ASPECT: food, service. CATEGORY: food quality, service general. OPINION: good, great. SENTIMENT: positive, positive #####  . . . they do n ' t have to try to sell you stuff or make the food look fancy to make you feel like you ' re getting a great experience . . . it ' s good food served in a great environment . ##### EAEO
ASPECT: food, bloody mary. CATEGORY: food quality, drinks quality. OPINION: great, mean. SENTIMENT: positive, positive #####  . i have had great food here and bloody mary ' s that are absolutely mean . ##### EAEO
ASPECT: space. CATEGORY: restaurant miscellaneous. OPINION: limited. SENTIMENT: negative #####  . our reservation was for four but the space is limited so only two of us could sit together . ##### EAEO
ASPECT: place. CATEGORY: restaurant miscellaneous. OPINION: best. SENTIMENT: positive #####  . my wife and i plan to make this place a regular stop on our travels , and in fact , one of the best finds in the city . ##### EAEO
ASPECT: ray ' s. CATEGORY: restaurant miscellaneous. OPINION: null. SENTIMENT: neutral #####  . it is a bit pricey for ray ' s ca n ' t , but i would still go again . ##### EAIO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  . i felt as though they were just trying to get rid of me . ##### IAIO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  : i would go back again ##### IAIO
ASPECT: service. CATEGORY: service general. OPINION: quick. SENTIMENT: positive #####  . they were quick to serve us and the food was presented nicely . ##### EAEO
ASPECT: place. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  if you ' re in the place for some time you ' ll start to feel like family . ##### EAIO
ASPECT: wood decor. CATEGORY: ambience general. OPINION: incredible. SENTIMENT: positive #####  . incredible wood decor ##### EAEO
ASPECT: null. CATEGORY: restaurant miscellaneous. OPINION: good. SENTIMENT: positive #####  . this is good for late night snacks and good company . ##### IAEO
ASPECT: place. CATEGORY: restaurant miscellaneous. OPINION: null. SENTIMENT: positive #####  , be sure to check it out if you ever visit manhattan . ##### EAIO
ASPECT: chef ' s choice for sushi. CATEGORY: food quality. OPINION: null. SENTIMENT: positive #####  . the chef ' s choice for sushi is always a surprise and delight . ##### EAIO
ASPECT: sushi. CATEGORY: food quality. OPINION: unbeatable. SENTIMENT: positive #####  . you have not had sushi until you have had sushi here - it is unbeatable . ##### EAEO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  ! we were never offered drinks or any explanation as to why the food was late , just an apology from the manager who quickly passed by our table . ##### IAIO
ASPECT: sake, server. CATEGORY: drinks quality, service general. OPINION: good, good. SENTIMENT: positive, positive #####  . the sake was very good and the server did not mind pouring me another glass when i finished my first . ##### EAEO
ASPECT: art on the walls. CATEGORY: ambience general. OPINION: colorful. SENTIMENT: positive #####  . a colorful art on the walls only adds to the experience . ##### EAEO
ASPECT: eggs, meal. CATEGORY: food quality, food quality. OPINION: null, null. SENTIMENT: negative, negative #####  , i did n ' t even finish my eggs and meal was a mess . ##### EAIO
ASPECT: service. CATEGORY: service general. OPINION: efficient. SENTIMENT: positive #####  . everyone was served quickly and efficiently . ##### EAEO
ASPECT: food. CATEGORY: food quality. OPINION: enjoyed. SENTIMENT: positive #####  . enjoyed the food ##### EAEO
ASPECT: employees. CATEGORY: service general. OPINION: ignoring. SENTIMENT: negative #####  . the employees are rude and ignorant and ignore you when you ask for things like your bill . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: negative #####  i would not go back . ##### IAIO
ASPECT: null. CATEGORY: restaurant general. OPINION: disappointing. SENTIMENT: negative #####  . we were very disappointed . ##### IAEO
ASPECT: food. CATEGORY: food quality. OPINION: mild. SENTIMENT: positive #####  . i ca n ' t wait to go back and try the rest of the menu . . . the food is mild , so it will not make your sinuses explode as some thai food can do . ##### EAEO
ASPECT: pizza, service. CATEGORY: food quality, service general. OPINION: great, poor. SENTIMENT: positive, negative #####  . . . pizza was great but the service was poor . ##### EAEO
ASPECT: staff. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  . we ' ve all experienced rude and out of sorts behavior from the staff on multiple occasions . ##### EAIO
ASPECT: ambiance, ambiance. CATEGORY: ambience general, ambience general. OPINION: nice, good. SENTIMENT: positive, positive #####  . i like the ambiance , very nice and good for a first date or for a small celebration . ##### EAEO
ASPECT: food, service. CATEGORY: food quality, service general. OPINION: ok, poor. SENTIMENT: neutral, negative #####  . food was ok , but service was poor . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: not worth. SENTIMENT: negative #####  . i do n ' t know what other people are talking about but this place was not worth the hype . ##### IAEO
ASPECT: cakes. CATEGORY: food quality. OPINION: better. SENTIMENT: positive #####  . they have better cakes than red velvet cafe . ##### EAEO
ASPECT: white gulf prawns, manila clams, soy dressing, butter sauce. CATEGORY: food styleoptions, food quality, food quality, food quality. OPINION: enormous, fantastic, tasty, sublime. SENTIMENT: positive, positive, positive, positive #####  . try the white gulf prawns , manila clams , soy dressing , butter sauce - enormous , fantastic , tasty , sublime . ##### EAEO
ASPECT: grilled alaskan king salmon, creamed washington russet potatoes, green beans. CATEGORY: food quality, food quality, food quality. OPINION: enjoyed, delectable, crisp. SENTIMENT: positive, positive, positive #####  . i enjoyed the grilled alaskan king salmon with creamed washington russet potatoes and green beans - delectable and crisp . ##### EAEO
ASPECT: null. CATEGORY: restaurant miscellaneous. OPINION: positive. SENTIMENT: negative #####  : keep it to yourselves . ##### IAEO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: positive #####  . for example : i ' m planning on going back very soon . ##### IAIO
ASPECT: pizza. CATEGORY: food quality. OPINION: good. SENTIMENT: positive #####  . pizza is very good ##### EAEO
ASPECT: null. CATEGORY: food quality. OPINION: delicious. SENTIMENT: positive #####  . i have had delicious . ##### IAEO
ASPECT: pepperoni, pepperoni. CATEGORY: food styleoptions, food styleoptions. OPINION: big, thick. SENTIMENT: positive, positive #####  . this pepperoni is big and thick . ##### EAEO
ASPECT: restaurant. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  . this restaurant ##### EAIO
ASPECT: null. CATEGORY: restaurant prices. OPINION: overpriced. SENTIMENT: negative #####  . . . a little overpriced for what you get . ##### IAEO
ASPECT: wine list. CATEGORY: drinks styleoptions. OPINION: extensive. SENTIMENT: positive #####  . i was impressed with the extensive wine list . ##### EAEO
ASPECT: customer service, pizza. CATEGORY: service general, food quality. OPINION: poor, poor. SENTIMENT: negative, negative #####  . this place has poor customer service , and the pizza is a poor excuse for pizza . ##### EAEO
ASPECT: spot. CATEGORY: ambience general. OPINION: cozy. SENTIMENT: positive #####  . this is a cozy little spot . ##### EAEO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  . would have preferred if he had just asked . ##### IAIO
ASPECT: shoe string onions, goat cheese pizza, grilled asparagus, fried brie with fruit. CATEGORY: food quality, food quality, food quality, food quality. OPINION: good, good, good, good. SENTIMENT: positive, positive, positive, positive #####  . the goat cheese pizza was very good with shoe string onions , goat cheese and grilled asparagus . . . the fried brie with fruit was also very good . ##### EAEO
ASPECT: desert, dinner. CATEGORY: food quality, food quality. OPINION: perfect, perfect. SENTIMENT: positive, positive #####  . they have the perfect desert for dinner . ##### EAEO
ASPECT: food, food. CATEGORY: food quality, food quality. OPINION: good, appetizing. SENTIMENT: positive, positive #####  . this was my first visit and i ' m definitely coming back for more , the food is so good and appetizing . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  . definitely a repeat visit ! ##### IAIO
ASPECT: dessert of a port and chocolate tasting, dessert of a port and chocolate tasting. CATEGORY: food quality, food quality. OPINION: unusual, yummy. SENTIMENT: positive, positive #####  . you ca n ' t go wrong with anything you try here , especially the dessert of a port and chocolate tasting which is unusual but yummy . ##### EAEO
ASPECT: lunch menu. CATEGORY: food prices. OPINION: awesome. SENTIMENT: positive #####  . awesome prices for lunch menu . ##### EAEO
ASPECT: restroom. CATEGORY: restaurant miscellaneous. OPINION: odd. SENTIMENT: negative #####  . i ' ve been there three times , and everytime i ' ve had to wait in line for the restroom - which is odd because there are at least four other restrooms in the restaurant that are always empty . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: charming. SENTIMENT: positive #####  . charming ##### IAEO
ASPECT: atmosphere. CATEGORY: ambience general. OPINION: great. SENTIMENT: positive #####  . overall , the atmosphere was great . ##### EAEO
ASPECT: dungeness crabs. CATEGORY: food styleoptions. OPINION: love. SENTIMENT: positive #####  . i love dungeness crabs . ##### EAEO
ASPECT: food, food. CATEGORY: food quality, food quality. OPINION: good, overpriced. SENTIMENT: positive, negative #####  . . . my husband and i thought the food was good , but overpriced . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: negative #####  will definitely not return . ##### IAIO
ASPECT: service, service. CATEGORY: service general, service general. OPINION: spendid, delight. SENTIMENT: positive, positive #####  . i have to say i ' m going to rave about this place and spendid service . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  and you should try it too ! ##### IAIO
ASPECT: 9 oz steak. CATEGORY: food quality. OPINION: great. SENTIMENT: positive #####  . my husband had the 9 oz steak which was great . ##### EAEO
ASPECT: null. CATEGORY: food quality. OPINION: yummy. SENTIMENT: positive #####  . the food was yummy . ##### IAEO
ASPECT: artwork, music. CATEGORY: ambience general, ambience general. OPINION: null, null. SENTIMENT: positive, positive #####  this place is all about atmosphere - - - artwork adorning the walls , music playing soft in the background . ##### EAIO
ASPECT: null. CATEGORY: food quality. OPINION: delicious. SENTIMENT: positive #####  . i found it delicious ! ##### IAEO
ASPECT: sushi, sushi. CATEGORY: food styleoptions, food prices. OPINION: null, null. SENTIMENT: negative, negative #####  . try sushi and you ' ll understand . ##### EAIO
ASPECT: null. CATEGORY: restaurant miscellaneous. OPINION: never too crowded. SENTIMENT: positive #####  . i never hear about it being too crowded . ##### IAEO
ASPECT: pizza ' s, pizza ' s. CATEGORY: food quality, food quality. OPINION: light, scrumptious. SENTIMENT: positive, positive #####  . the pizza ' s are light and scrumptious . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: worth. SENTIMENT: positive #####  . i think it was well worth the trip . ##### IAEO
ASPECT: open sesame combo plate. CATEGORY: food styleoptions. OPINION: null. SENTIMENT: positive #####  . there is so much good food on the open sesame combo plate ! ##### EAIO
ASPECT: beer, meal. CATEGORY: drinks quality, food quality. OPINION: warm, mediocre. SENTIMENT: negative, negative #####  . . . i had a warm beer and a mediocre meal at this location . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: kudos. SENTIMENT: positive #####  . kudos to the entire staff . ##### IAEO
ASPECT: food. CATEGORY: food quality. OPINION: null. SENTIMENT: positive #####  . the food was very good . ##### EAIO
ASPECT: seabass on lobster risotto. CATEGORY: food quality. OPINION: best. SENTIMENT: positive #####  . best seabass on lobster risotto i have ever had . ##### EAEO
ASPECT: null. CATEGORY: ambience general. OPINION: null. SENTIMENT: positive #####  : i ' m definitely going back . ##### IAIO
ASPECT: service, waiters. CATEGORY: service general, service general. OPINION: exceptional, friendly. SENTIMENT: positive, positive #####  . the service was exceptional , and the waiters were friendly . ##### EAEO
ASPECT: restaurant. CATEGORY: restaurant prices. OPINION: astonished. SENTIMENT: negative #####  . . . the service was the only thing that was anything but perfect - - and even that i felt was somewhat overpriced , given the restaurant . ##### EAEO
ASPECT: location. CATEGORY: location general. OPINION: nice. SENTIMENT: positive #####  . . . located on the upper west side near the river , the view from the restaurant is really nice . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: great. SENTIMENT: positive #####  . the food is always great . ##### IAEO
ASPECT: waiters, waiters. CATEGORY: service general, service general. OPINION: experienced, helpful. SENTIMENT: positive, positive #####  . . . the waiters experienced and helpful . ##### EAEO
ASPECT: fish, fish. CATEGORY: food quality, food quality. OPINION: fresh, thin. SENTIMENT: positive, negative #####  . . . they served the fish , a thick slice of the raw fish . ##### EAEO
ASPECT: italian food. CATEGORY: food quality. OPINION: fabulous. SENTIMENT: positive #####  . we ' ve been coming here for fabulous italian food since it opened . ##### EAEO
ASPECT: balcony. CATEGORY: ambience general. OPINION: null. SENTIMENT: neutral #####  ( i would say this is the most romantic place in nyc if the balcony was enclosed and heated in the winter ) ##### EAIO
ASPECT: null. CATEGORY: service general. OPINION: annoyance. SENTIMENT: negative #####  . if you do n ' t eat quickly you will be charged an extra dollar an hour , which i found quite an annoyance . ##### IAEO
ASPECT: space, space, service. CATEGORY: ambience general, ambience general, service general. OPINION: small, lovely, helpful. SENTIMENT: positive, positive, positive #####  . i have a small space at home that i decorate like this restaurant , so it was lovely to go there and see everything i had imagined for myself , and even get helpful service on top of it . ##### EAEO
ASPECT: dinners. CATEGORY: food quality. OPINION: excellent. SENTIMENT: positive #####  . i have had excellent dinners there everytime . ##### EAEO
ASPECT: nigiri, sashmi. CATEGORY: food quality, food quality. OPINION: null, null. SENTIMENT: positive, positive #####  . i have had better nigiri , sashmi , etc . elsewhere but it is all so good here , you do n ' t have to eat anywhere else in ny . ##### EAIO
ASPECT: food, ambience. CATEGORY: food quality, ambience general. OPINION: excellent, nice. SENTIMENT: positive, positive #####  , positive ##### EAEO
ASPECT: food, food. CATEGORY: food quality, food quality. OPINION: real, best. SENTIMENT: positive, positive #####  . this is the real deal and the best thai food in the city . ##### EAEO
ASPECT: omikase. CATEGORY: food styleoptions. OPINION: null. SENTIMENT: negative #####  . my wife wanted the omikase but did not want the eel , and the chef ' s choice contained eel . ##### EAIO
ASPECT: breakfast. CATEGORY: food quality. OPINION: love. SENTIMENT: positive #####  . i love the breakfast . ##### EAEO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: positive #####  by the absence of ! ##### IAIO
ASPECT: null. CATEGORY: restaurant general. OPINION: over rated. SENTIMENT: negative #####  . over rated ##### IAEO
ASPECT: indian food. CATEGORY: food quality. OPINION: best. SENTIMENT: positive #####  . it is the best indian food in the city . ##### EAEO
ASPECT: null. CATEGORY: food styleoptions. OPINION: null. SENTIMENT: positive #####  . i ' ve had the veggie burger and it was very good , but the portobello mushroom sandwich looked so good i knew i had to try it . ##### IAIO
ASPECT: atmosphere. CATEGORY: ambience general. OPINION: nice. SENTIMENT: positive #####  . i think the atmosphere adds to the nice experience . ##### EAEO
ASPECT: food, food. CATEGORY: food quality, food quality. OPINION: good, too mild. SENTIMENT: positive, negative #####  . the food is too mild for my liking . ##### EAEO
ASPECT: hummus. CATEGORY: food quality. OPINION: holy. SENTIMENT: positive #####  . my hummus was holy moly good . ##### EAEO
ASPECT: ambience, place. CATEGORY: ambience general, restaurant general. OPINION: nice, overrated. SENTIMENT: positive, negative #####  . this place is really nice ambience wise , but very overrated . ##### EAEO
ASPECT: service. CATEGORY: service general. OPINION: worst. SENTIMENT: negative #####  . i have to say that the service was the worst i have ever encountered at any restaurant . ##### EAEO
ASPECT: sushi, wait staff. CATEGORY: food quality, service general. OPINION: excellent, quick. SENTIMENT: positive, positive #####  , positive . i ' ve had excellent sushi at other places but the wait staff here makes you feel like the place is your local hang out and the service is quick and reliable . ##### EAEO
ASPECT: restaurant. CATEGORY: restaurant general. OPINION: good. SENTIMENT: positive #####  . i ca n ' t believe how good this restaurant is ! ##### EAEO
